LC	RC	LS	RS	LC	RS	LS	RS
0.45	0.55	0.045	0.045	4.3	4.4	0.3	0.4
0.9	1.1	0.09	0.09	3.75	4.25	0.25	0.25
1.35	1.65	0.135	0.135	5.1	5.4	0.3	0.4
1.8	2.2	0.18	0.18	5.25	5.75	0.25	0.25
2.25	2.75	0.225	0.225	5.7	6	0.3	0.5
2.7	3.3	0.27	0.27	7	8	0.5	0.5
3.15	3.85	0.315	0.315	6.5	7	0.25	0.5
3.6	4.4	0.36	0.36	6.25	6.75	0.25	0.25
4.05	4.95	0.405	0.405	6.9	7.65	0.25	0.25
4.5	5.5	0.45	0.45	8.25	8.75	0.25	0.25
4.95	6.05	0.495	0.495	8	8.5	0.25	0.5
5.4	6.6	0.54	0.54	7.5	8.5	0.5	0.5
5.85	7.15	0.585	0.585	8.5	9.5	0.5	0.5
6.3	7.7	0.63	0.63	10.25	10.75	0.2	0.25
6.75	8.25	0.675	0.675	9.25	10.4	0.55	0.6
7.2	8.8	0.72	0.72	9.25	9.75	0.25	0.25
