LC	RC	LS	RS	LC	RC	LS	RS
2.7342	3.037	0.5068	0.6493	-0.2622	4.0825	0.6835	1.5185
2.1042	3.9744	0.3281	0.7629	-0.9008	5.9466	0.5261	1.9872
2.7926	3.7264	0.7535	0.5757	-0.2184	5.4421	0.7535	1.8632
2.7827	3.148	0.836	0.6319	-0.2115	4.3029	0.836	1.574
2.5324	3.1479	0.2537	0.2782	-0.4656	4.2993	0.6331	1.5739
2.2534	3.7048	0.5344	0.8398	-0.7496	5.4072	0.5633	1.8524
2.071	3.381	0.4352	0.4268	-0.9361	4.7564	0.5177	1.6905
2.6258	3.0764	0.1577	0.6316	-0.3719	4.1577	0.6565	1.5382
2.0247	3.4108	0.6005	0.8335	-0.9709	4.8273	0.6005	1.7054
2.062	3.143	0.9375	0.2702	-0.9306	4.2934	0.9375	1.5715
2.1296	3.7989	0.1078	0.4008	-0.8828	5.594	0.5324	1.8995
2.4506	3.9302	0.9	0.5543	-0.5421	5.8741	0.9	1.9651
2.6723	3.0047	0.5505	0.4439	-0.3177	4.0214	0.6681	1.5024
2.8561	3.65	0.4274	0.0904	-0.1567	5.2887	0.714	1.825
2.4984	3.6785	0.1524	0.7444	-0.5114	5.3499	0.6246	1.8393
2.0488	3.2536	0.2475	0.0326	-0.9579	4.5015	0.5122	1.6268
2.3138	3.8432	0.4474	0.4297	-0.6842	5.6912	0.5785	1.9216
2.6416	3.294	0.5328	0.0373	-0.3679	4.5792	0.6604	1.647
2.7864	3.0269	0.3547	0.9758	-0.221	4.0525	0.6966	1.9516
2.2892	3.0933	0.7731	0.5223	-0.7074	4.1906	0.7731	1.5467
2.4979	3.7979	0.8817	0.9096	-0.4932	5.6112	0.8817	1.8989
2.8184	3.7114	0.7341	0.3832	-0.1934	5.4187	0.7341	1.8557
2.5951	3.7834	0.4064	0.8845	-0.4112	5.5614	0.6488	1.8917
2.5364	3.6239	0.6042	0.255	-0.452	5.2606	0.6341	1.812
2.3309	3.8254	0.6411	0.909	-0.6721	5.6505	0.6411	1.9127
2.4117	3.035	0.1275	0.8946	-0.5863	4.0741	0.6029	1.7891
2.794	3.4055	0.4962	0.3985	-0.2158	4.8057	0.6985	1.7027
2.3432	3.2497	0.3105	0.625	-0.6466	4.5151	0.5858	1.6248
2.4626	3.4809	0.5786	0.5676	-0.5319	4.9685	0.6157	1.7404
2.3678	3.8808	0.9436	0.8945	-0.6274	5.7675	0.9436	1.9404
2.6796	3.2807	0.4269	0.2142	-0.3241	4.5581	0.6699	1.6403
2.5678	3.5991	0.0331	0.0039	-0.4311	5.2096	0.6419	1.7996
2.6518	3.0262	0.9294	0.8806	-0.3449	4.0569	0.9294	1.7612
2.4911	3.1552	0.925	0.2351	-0.5033	4.3215	0.925	1.5776
2.3985	3.8339	0.3583	0.2449	-0.6072	5.6628	0.5996	1.917
2.4775	3.1949	0.26	0.6409	-0.5151	4.3977	0.6194	1.5974
2.0666	3.8298	0.7869	0.3045	-0.9204	5.6728	0.7869	1.9149
2.411	3.3381	0.5116	0.8256	-0.5957	4.6724	0.6028	1.669
2.9691	3.6711	0.5625	0.8837	-0.0226	5.3533	0.7423	1.8356
2.7807	3.0524	0.6848	0.9454	-0.2268	4.099	0.6952	1.8907
2.729	3.7343	0.0924	0.3908	-0.2659	5.4758	0.6823	1.8672
2.7657	3.4995	0.8726	0.8013	-0.2445	4.9945	0.8726	1.7497
2.7566	3.9433	0.9429	0.1571	-0.2564	5.8819	0.9429	1.9716
2.8433	3.2898	0.0966	0.6252	-0.1618	4.5774	0.7108	1.6449
2.7702	3.3766	0.8459	0.699	-0.2269	4.7568	0.8459	1.6883
2.9787	3.1138	0.9094	0.0859	-0.0286	4.2232	0.9094	1.5569
2.1114	3.9649	0.0113	0.5312	0.8998	5.9267	0.5278	1.9824
2.3961	3.4325	0.5237	0.8886	-0.5973	4.8722	0.599	1.7771
2.4921	3.0846	0.6503	0.2637	-0.5003	4.1778	0.6503	1.5423
2.2581	3.7167	0.3851	0.2348	-0.7506	5.428	0.5645	1.8583
