C	LS	RS	C	LS	RS
2.8856	0.5068	0.6493	1.91015	0.6835	1.5185
3.0393	0.3281	0.7629	2.5229	0.5261	1.9872
3.2595	0.7535	0.5757	2.61185	0.7535	1.8632
2.96535	0.836	0.6319	2.0457	0.836	1.574
2.84015	0.2537	0.2782	1.91685	0.6331	1.5739
2.9791	0.5344	0.8398	2.3288	0.5633	1.8524
2.726	0.4352	0.4268	1.91015	0.5177	1.6905
2.8511	0.1577	0.6316	1.8929	0.6565	1.5382
2.71775	0.6005	0.8335	1.9282	0.6005	1.7054
2.6025	0.9375	0.2702	1.6814	0.9375	1.5715
2.96425	0.1078	0.4008	2.3556	0.5324	1.8995
3.1904	0.9	0.5543	2.666	0.9	1.9651
2.8385	0.5505	0.4439	1.85185	0.6681	1.5024
3.25305	0.4274	0.0904	2.566	0.714	1.825
3.08845	0.1524	0.7444	2.41925	0.6246	1.8393
2.6512	0.2475	0.0326	1.7718	0.5122	1.6268
3.0785	0.4474	0.4297	2.5035	0.5785	1.9216
2.9678	0.5328	0.0373	2.10565	0.6604	1.647
2.90665	0.3547	0.9758	1.91575	0.6966	1.9516
2.69125	0.7731	0.5223	1.7416	0.7731	1.5467
3.1479	0.8817	0.9096	2.559	0.8817	1.8989
3.2649	0.7341	0.3832	2.61265	0.7341	1.8557
3.18925	0.4064	0.8845	2.5751	0.6488	1.8917
3.08015	0.6042	0.255	2.4043	0.6341	1.812
3.07815	0.6411	0.909	2.4892	0.6411	1.9127
2.72335	0.1275	0.8946	1.7439	0.6029	1.7891
3.09975	0.4962	0.3985	2.29495	0.6985	1.7027
2.79645	0.3105	0.625	1.93425	0.5858	1.6248
2.97175	0.5786	0.5676	2.2183	0.6157	1.7404
3.1243	0.9436	0.8945	2.57005	0.9436	1.9404
2.98015	0.4269	0.2142	2.117	0.6699	1.6403
3.08345	0.0331	0.0039	2.38925	0.6419	1.7996
2.839	0.9294	0.8806	1.856	0.9294	1.7612
2.82315	0.925	0.2351	1.9091	0.925	1.5776
3.1162	0.3583	0.2449	2.5278	0.5996	1.917
2.8362	0.26	0.6409	1.9413	0.6194	1.5974
2.9482	0.7869	0.3045	2.3762	0.7869	1.9149
2.87455	0.5116	0.8256	2.03835	0.6028	1.669
3.3201	0.5625	0.8837	2.66535	0.7423	1.8356
2.91655	0.6848	0.9454	1.9361	0.6952	1.8907
3.23165	0.0924	0.3908	2.60495	0.6823	1.8672
3.1326	0.8726	0.8013	2.375	0.8726	1.7497
3.34995	0.9429	0.1571	2.81275	0.9429	1.9716
3.06655	0.0966	0.6252	2.2078	0.7108	1.6449
3.0734	0.8459	0.699	2.26495	0.8459	1.6883
3.04625	0.9094	0.0859	2.0973	0.9094	1.5569
3.03815	0.0113	0.5312	3.41325	0.5278	1.9824
2.9143	0.5237	0.8886	2.13745	0.599	1.7771
2.78835	0.6503	0.2637	1.83875	0.6503	1.5423
2.9874	0.3851	0.2348	2.3387	0.5645	1.8583
