LS	center	RS	LS	center	RS
0.97545	2.8856	4.79575	1.91015	1.91015	1.91015
0.5164	3.0393	5.5622	2.5229	2.5229	2.5229
0.64765	3.2595	5.87135	2.61185	2.61185	2.61185
0.91965	2.96535	5.01105	2.0457	2.0457	2.0457
0.9233	2.84015	4.757	1.91685	1.91685	1.91685
0.6503	2.9791	5.3079	2.3288	2.3288	2.3288
0.81585	2.726	4.63615	1.91015	1.91015	1.91015
0.9582	2.8511	4.744	1.8929	1.8929	1.8929
0.78955	2.71775	4.64595	1.9282	1.9282	1.9282
0.9211	2.6025	4.2839	1.6814	1.6814	1.6814
0.60865	2.96425	5.31985	2.3556	2.3556	2.3556
0.5244	3.1904	5.8564	2.666	2.666	2.666
0.98665	2.8385	4.69035	1.85185	1.85185	1.85185
0.68705	3.25305	5.81905	2.566	2.566	2.566
0.6692	3.08845	5.5077	2.41925	2.41925	2.41925
0.8794	2.6512	4.423	1.7718	1.7718	1.7718
0.575	3.0785	5.582	2.5035	2.5035	2.5035
0.86215	2.9678	5.07345	2.10565	2.10565	2.10565
0.9909	2.90665	4.8224	1.91575	1.91575	1.91575
0.94965	2.69125	4.43285	1.7416	1.7416	1.7416
0.5889	3.1479	5.7069	2.559	2.559	2.559
0.65225	3.2649	5.87755	2.61265	2.61265	2.61265
0.61415	3.18925	5.76435	2.5751	2.5751	2.5751
0.67585	3.08015	5.48445	2.4043	2.4043	2.4043
0.58895	3.07815	5.56735	2.4892	2.4892	2.4892
0.97945	2.72335	4.46725	1.7439	1.7439	1.7439
0.8048	3.09975	5.3947	2.29495	2.29495	2.29495
0.8622	2.79645	4.7307	1.93425	1.93425	1.93425
0.75345	2.97175	5.19005	2.2183	2.2183	2.2183
0.55425	3.1243	5.69435	2.57005	2.57005	2.57005
0.86315	2.98015	5.09715	2.117	2.117	2.117
0.6942	3.08345	5.4727	2.38925	2.38925	2.38925
0.983	2.839	4.695	1.856	1.856	1.856
0.91405	2.82315	4.73225	1.9091	1.9091	1.9091
0.5884	3.1162	5.644	2.5278	2.5278	2.5278
0.8949	2.8362	4.7775	1.9413	1.9413	1.9413
0.572	2.9482	5.3244	2.3762	2.3762	2.3762
0.8362	2.87455	4.9129	2.03835	2.03835	2.03835
0.65475	3.3201	5.98545	2.66535	2.66535	2.66535
0.98045	2.91655	4.85265	1.9361	1.9361	1.9361
0.6267	3.23165	5.8366	2.60495	2.60495	2.60495
0.7576	3.1326	5.5076	2.375	2.375	2.375
0.5372	3.34995	6.1627	2.81275	2.81275	2.81275
0.85875	3.06655	5.27435	2.2078	2.2078	2.2078
0.80845	3.0734	5.33835	2.26495	2.26495	2.26495
0.94895	3.04625	5.14355	2.0973	2.0973	2.0973
-0.3751	3.03815	6.4514	3.41325	3.41325	3.41325
0.77685	2.9143	5.05175	2.13745	2.13745	2.13745
0.9496	2.78835	4.6271	1.83875	1.83875	1.83875
0.6487	2.9874	5.3261	2.3387	2.3387	2.3387
