 LS	 LC	 RC	 RS	 LS	 LC	 RC	 RS
 0.41 	 0.45 	 0.55 	 0.60 	 4.00 	 4.30 	 4.40 	 4.80 
 0.81 	 0.90 	 1.10 	 1.19 	 3.50 	 3.75 	 4.25 	 4.50 
 1.22 	 1.35 	 1.65 	 1.79 	 4.80 	 5.10 	 5.40 	 5.80 
 1.62 	 1.80 	 2.20 	 2.38 	 5.00 	 5.25 	 5.75 	 6.00 
 2.03 	 2.25 	 2.75 	 2.98 	 5.40 	 5.70 	 6.00 	 6.50 
 2.43 	 2.70 	 3.30 	 3.57 	 6.50 	 7.00 	 8.00 	 8.50 
 2.84 	 3.15 	 3.85 	 4.17 	 6.25 	 6.50 	 7.00 	 7.50 
 3.24 	 3.60 	 4.40 	 4.76 	 6.00 	 6.25 	 6.75 	 7.00 
 3.65 	 4.05 	 4.95 	 5.36 	 6.65 	 6.90 	 7.65 	 7.90 
 4.05 	 4.50 	 5.50 	 5.95 	 8.00 	 8.25 	 8.75 	 9.00 
 4.46 	 4.95 	 6.05 	 6.55 	 7.75 	 8.00 	 8.50 	 9.00 
 4.86 	 5.40 	 6.60 	 7.14 	 7.00 	 7.50 	 8.50 	 9.00 
 5.27 	 5.85 	 7.15 	 7.74 	 8.00 	 8.50 	 9.50 	 10.00 
 5.67 	 6.30 	 7.70 	 8.33 	 10.05 	 10.25 	 10.75 	 11.00 
 6.08 	 6.75 	 8.25 	 8.93 	 8.70 	 9.25 	 10.40 	 11.00 
 6.48 	 7.20 	 8.80 	 9.52 	 9.00 	 9.25 	 9.75 	 10.00 
