LS	LC	RC	RS	LS	LC	RC	RS
2.2274	2.7342	3.037	3.6863	-0.9457	-0.2622	4.0825	5.601
1.7761	2.1042	3.9744	4.7373	-1.4269	-0.9008	5.9466	7.9338
2.0391	2.7926	3.7264	4.3021	-0.9719	-0.2184	5.4421	7.3053
1.9467	2.7827	3.148	3.7799	-1.0475	-0.2115	4.3029	5.8769
2.2787	2.5324	3.1479	3.4261	-1.0987	-0.4656	4.2993	5.8732
1.719	2.2534	3.7048	4.5446	-1.3129	-0.7496	5.4072	7.2596
1.6358	2.071	3.381	3.8078	-1.4538	-0.9361	4.7564	6.4469
2.4681	2.6258	3.0764	3.708	-1.0284	-0.3719	4.1577	5.6959
1.4242	2.0247	3.4108	4.2443	-1.5714	-0.9709	4.8273	6.5327
1.1245	2.062	3.143	3.4132	-1.8681	-0.9306	4.2934	5.8649
2.0218	2.1296	3.7989	4.1997	-1.4152	-0.8828	5.594	7.4935
1.5506	2.4506	3.9302	4.4845	-1.4421	-0.5421	5.8741	7.8392
2.1218	2.6723	3.0047	3.4486	-0.9858	-0.3177	4.0214	5.5238
2.4287	2.8561	3.65	3.7404	-0.8707	-0.1567	5.2887	7.1137
2.346	2.4984	3.6785	4.4229	-1.136	-0.5114	5.3499	7.1892
1.8013	2.0488	3.2536	3.2862	-1.4701	-0.9579	4.5015	6.1283
1.8664	2.3138	3.8432	4.2729	-1.2627	-0.6842	5.6912	7.6128
2.1088	2.6416	3.294	3.3313	-1.0283	-0.3679	4.5792	6.2262
2.4317	2.7864	3.0269	4.0027	-0.9176	-0.221	4.0525	6.0041
1.5161	2.2892	3.0933	3.6156	-1.4805	-0.7074	4.1906	5.7373
1.6162	2.4979	3.7979	4.7075	-1.3749	-0.4932	5.6112	7.5101
2.0843	2.8184	3.7114	4.0946	-0.9275	-0.1934	5.4187	7.2744
2.1887	2.5951	3.7834	4.6679	-1.06	-0.4112	5.5614	7.4531
1.9322	2.5364	3.6239	3.8789	-1.0861	-0.452	5.2606	7.0726
1.6898	2.3309	3.8254	4.7344	-1.3132	-0.6721	5.6505	7.5632
2.2842	2.4117	3.035	3.9296	-1.1892	-0.5863	4.0741	5.8632
2.2978	2.794	3.4055	3.804	-0.9143	-0.2158	4.8057	6.5084
2.0327	2.3432	3.2497	3.8747	-1.2324	-0.6466	4.5151	6.1399
1.884	2.4626	3.4809	4.0485	-1.1476	-0.5319	4.9685	6.7089
1.4242	2.3678	3.8808	4.7753	-1.571	-0.6274	5.7675	7.7079
2.2527	2.6796	3.2807	3.4949	-0.994	-0.3241	4.5581	6.1984
2.5347	2.5678	3.5991	3.603	-1.073	-0.4311	5.2096	7.0092
1.7224	2.6518	3.0262	3.9068	-1.2743	-0.3449	4.0569	5.8181
1.5661	2.4911	3.1552	3.3903	-1.4283	-0.5033	4.3215	5.8991
2.0402	2.3985	3.8339	4.0788	-1.2068	-0.6072	5.6628	7.5798
2.2175	2.4775	3.1949	3.8358	-1.1345	-0.5151	4.3977	5.9951
1.2797	2.0666	3.8298	4.1343	-1.7073	-0.9204	5.6728	7.5877
1.8994	2.411	3.3381	4.1637	-1.1985	-0.5957	4.6724	6.3414
2.4066	2.9691	3.6711	4.5548	-0.7649	-0.0226	5.3533	7.1889
2.0959	2.7807	3.0524	3.9978	-0.922	-0.2268	4.099	5.9897
2.6366	2.729	3.7343	4.1251	-0.9482	-0.2659	5.4758	7.343
1.8931	2.7657	3.4995	4.3008	-1.1171	-0.2445	4.9945	6.7442
1.8137	2.7566	3.9433	4.1004	-1.1993	-0.2564	5.8819	7.8535
2.7467	2.8433	3.2898	3.915	-0.8726	-0.1618	4.5774	6.2223
1.9243	2.7702	3.3766	4.0756	-1.0728	-0.2269	4.7568	6.4451
2.0693	2.9787	3.1138	3.1997	-0.938	-0.0286	4.2232	5.7801
2.1001	2.1114	3.9649	4.4961	0.372	0.8998	5.9267	7.9091
1.8724	2.3961	3.4325	4.3211	-1.1963	-0.5973	4.8722	6.6493
1.8418	2.4921	3.0846	3.3483	-1.1506	-0.5003	4.1778	5.7201
1.873	2.2581	3.7167	3.9515	-1.3151	-0.7506	5.428	7.2863
