X				Y
2.7342				0.2622
2.1042				-0.9008
2.7926				-0.2184
2.7827				-0.2115
2.5324				-0.4656
2.2534				-0.7496
2.071				-0.9361
2.6258				-0.3719
2.0247				-0.9709
2.062				-0.9306
2.1296				-0.8828
2.4506				-0.5421
2.6723				-0.3177
2.8561				-0.1567
2.4984				-0.5114
2.0488				-0.9579
2.3138				-0.6842
2.6416				-0.3679
2.7864				-0.221
2.2892				-0.7074
2.4979				-0.4932
2.8184				-0.1934
2.5951				-0.4112
2.5364				-0.452
2.3309				-0.6721
2.4117				-0.5863
2.794				-0.2158
2.3432				-0.6466
2.4626				-0.5319
2.3678				-0.6274
2.6796				-0.3241
2.5678				-0.4311
2.6518				-0.3449
2.4911				-0.5033
2.3985				-0.6072
2.4775				-0.5151
2.0666				-0.9204
2.411				-0.5957
2.9691				-0.0226
2.7807				-0.2268
2.729				-0.2659
2.7657				-0.2445
2.7566				-0.2564
2.8433				-0.1618
2.7702				-0.2269
2.9787				-0.0286
2.1114				0.8998
2.3961				-0.5973
2.4921				-0.5003
2.2581				-0.7506
3.037				4.0825
3.9744				5.9466
3.7264				5.4421
3.148				4.3029
3.1479				4.2993
3.7048				5.4072
3.381				4.7564
3.0764				4.1577
3.4108				4.8273
3.143				4.2934
3.7989				5.594
3.9302				5.8741
3.0047				4.0214
3.65				5.2887
3.6785				5.3499
3.2536				4.5015
3.8432				5.6912
3.294				4.5792
3.0269				4.0525
3.0933				4.1906
3.7979				5.6112
3.7114				5.4187
3.7834				5.5614
3.6239				5.2606
3.8254				5.6505
3.035				4.0741
3.4055				4.8057
3.2497				4.5151
3.4809				4.9685
3.8808				5.7675
3.2807				4.5581
3.5991				5.2096
3.0262				4.0569
3.1552				4.3215
3.8339				5.6628
3.1949				4.3977
3.8298				5.6728
3.3381				4.6724
3.6711				5.3533
3.0524				4.099
3.7343				5.4758
3.4995				4.9945
3.9433				5.8819
3.2898				4.5774
3.3766				4.7568
3.1138				4.2232
3.9649				5.9267
3.4325				4.8722
3.0846				4.1778
3.7167				5.428
0.6493				1.5185
0.7629				1.9872
0.5757				1.8632
0.6319				1.574
0.2782				1.5739
0.8398				1.8524
0.4268				1.6905
0.6316				1.5382
0.8335				1.7054
0.2702				1.5715
0.4008				1.8995
0.5543				1.9651
0.4439				1.5024
0.0904				1.825
0.7444				1.8393
0.0326				1.6268
0.4297				1.9216
0.0373				1.647
0.9758				1.9516
0.5223				1.5467
0.9096				1.8989
0.3832				1.8557
0.8845				1.8917
0.255				1.812
0.909				1.9127
0.8946				1.7891
0.3985				1.7027
0.625				1.6248
0.5676				1.7404
0.8945				1.9404
0.2142				1.6403
0.0039				1.7996
0.8806				1.7612
0.2351				1.5776
0.2449				1.917
0.6409				1.5974
0.3045				1.9149
0.8256				1.669
0.8837				1.8356
0.9454				1.8907
0.3908				1.8672
0.8013				1.7497
0.1571				1.9716
0.6252				1.6449
0.699				1.6883
0.0859				1.5569
0.5312				1.9824
0.8886				1.7771
0.2637				1.5423
