X	Y
2.3788	1.22665
2.7112	1.9968
2.506	1.85835
2.12935	1.2097
2.58645	1.28375
2.4447	1.7655
2.2908	1.39245
2.6934	1.2364
2.11725	1.3277
1.665	0.7439
2.85645	1.8232
2.2904	1.766
2.288	1.18375
2.82565	1.852
2.93605	1.79465
2.4037	1.2596
2.6311	1.925
2.435	1.44525
2.55195	1.21915
1.91815	0.9685
2.2662	1.6773
2.5308	1.87855
2.78285	1.9263
2.47595	1.7702
2.43705	1.8481
2.59585	1.141
2.60355	1.59645
2.48595	1.34845
2.39315	1.6026
2.1807	1.62645
2.55325	1.4471
3.05035	1.74735
1.9096	0.9266
1.89815	0.9841
2.7579	1.9282
2.5762	1.3219
2.1613	1.5893
2.36295	1.43555
2.7576	1.92305
2.23175	1.2409
3.13925	1.92265
2.26	1.5024
2.40705	1.86985
2.96995	1.497
2.2275	1.41905
2.13685	1.1879
3.02685	2.88545
2.3906	1.53845
2.13805	1.18845
2.6023	1.7742
2.8856	1.91015
3.0393	2.5229
3.2595	2.61185
2.96535	2.0457
2.84015	1.91685
2.9791	2.3288
2.726	1.91015
2.8511	1.8929
2.71775	1.9282
2.6025	1.6814
2.96425	2.3556
3.1904	2.666
2.8385	1.85185
3.25305	2.566
3.08845	2.41925
2.6512	1.7718
3.0785	2.5035
2.9678	2.10565
2.90665	1.91575
2.69125	1.7416
3.1479	2.559
3.2649	2.61265
3.18925	2.5751
3.08015	2.4043
3.07815	2.4892
2.72335	1.7439
3.09975	2.29495
2.79645	1.93425
2.97175	2.2183
3.1243	2.57005
2.98015	2.117
3.08345	2.38925
2.839	1.856
2.82315	1.9091
3.1162	2.5278
2.8362	1.9413
2.9482	2.3762
2.87455	2.03835
3.3201	2.66535
2.91655	1.9361
3.23165	2.60495
3.1326	2.375
3.34995	2.81275
3.06655	2.2078
3.0734	2.26495
3.04625	2.0973
3.03815	3.41325
2.9143	2.13745
2.78835	1.83875
2.9874	2.3387
3.5349	3.42865
3.8022	4.5101
3.8352	4.47505
3.59725	3.6197
3.11835	3.49075
3.8189	4.1812
3.1528	3.60065
3.4827	3.4311
3.55125	3.6336
2.8727	3.2529
3.36505	4.2551
3.7447	4.6311
3.2824	3.35425
3.34345	4.391
3.83285	4.25855
2.6838	3.3986
3.5082	4.4251
3.0051	3.75265
3.88245	3.86735
3.21355	3.2883
4.0575	4.4579
3.6481	4.46835
4.07375	4.4668
3.33515	4.2163
3.98715	4.4019
3.61795	3.533
3.49825	3.99765
3.42145	3.55905
3.53935	3.9587
4.0188	4.51045
3.19435	3.7573
3.08735	4.18885
3.7196	3.6172
3.05825	3.4867
3.3611	4.4448
3.4771	3.5387
3.2527	4.2911
3.70015	3.70735
4.2038	4.50095
3.86195	3.8268
3.62245	4.47215
3.9339	4.1247
3.50705	4.78435
3.69175	3.8527
3.7724	3.95325
3.13215	3.6542
3.56935	5.39565
3.8029	3.91455
3.05205	3.38105
3.2222	4.197
